[2024-11-20 19:08:22,191] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,195] INFO [Broker id=0] Leader authrep-0 with topic id Some(6SbT8yrvSt2JxzRwBlfZ9g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,198] INFO [Broker id=0] Leader InternationalDeliveryRequest-2 with topic id Some(XbNw7CvLSOOOYrlle3FtcA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,203] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,207] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,212] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,216] INFO [Broker id=0] Leader StandardDeliveryRequest-1 with topic id Some(PtE_HWzsRzWRzdLe1dRFkQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,220] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,224] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,227] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,230] INFO [Broker id=0] Leader first_topic-1 with topic id Some(Qzm67w1mRoCPiL1JcDa2uw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,233] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,237] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,241] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,244] INFO [Broker id=0] Leader StandardDeliveryRequest-2 with topic id Some(PtE_HWzsRzWRzdLe1dRFkQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,258] INFO [Broker id=0] Finished LeaderAndIsr request in 448ms correlationId 1 from controller 0 for 78 partitions (state.change.logger)
[2024-11-20 19:08:22,271] INFO [Broker id=0] Add 78 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 22 with correlation id 2 (state.change.logger)
